user_id,category,corr_lag1,corr_lag7,corr_lag30
180011453250192,entertainment,0.052217744511552554,-0.01738465807848115,-0.05681390991192694
180011453250192,fuel,-0.002189642469689797,0.026242939451366992,-0.013516814114055526
180011453250192,groceries,0.05467822462592664,0.06404333493669692,0.019190864077034825
180011453250192,other,0.05876702915396805,0.07154064389622168,-0.04134135340713703
180011453250192,restaurants,0.008930036364168822,0.05264170682959234,0.006676664560540573
180011453250192,shopping,0.03317094672585041,0.03008824848565918,-0.036079260944044546
180011453250192,travel,0.036008470311967605,0.04961205902214592,-0.06833759100055649
180014262259255,entertainment,-0.023775369060906486,-0.04131287927636252,-0.007381474193963871
180014262259255,fuel,0.0377311031888996,0.04650576304192038,0.060575073179603596
180014262259255,groceries,0.08549018502827452,0.05481171877680944,-0.006945576013196072
180014262259255,other,-0.027153102560326495,0.0017960861022497277,-0.015107530786686382
180014262259255,restaurants,0.05191470952799621,-0.011121907410741082,0.0011426856787581034
180014262259255,shopping,0.16351651508700832,-0.015499674553374632,-0.006268260667822121
180014262259255,travel,0.006422136458376222,0.021313658949232817,-0.039488806932887914
180017442990269,entertainment,-0.013183805303685903,-0.027900052082527847,0.0453720726952456
180017442990269,fuel,0.07900549160974986,0.004713834314991267,0.021054365182243052
180017442990269,groceries,0.0928240246090847,-0.011142660000275343,-0.04510637399646592
180017442990269,other,0.09147671947934395,-0.027644871138790557,-0.031894099332020615
180017442990269,restaurants,0.013889263750082422,-0.06600013735516233,-0.08237195400180553
180017442990269,shopping,-0.019849087694137894,-0.02242876112749917,-0.022675727748484094
180017442990269,travel,-0.005473194586867352,-0.010406639340007975,-0.012404373524360355
180018375329178,entertainment,-0.08695585420808502,0.043871329915587017,-0.019065906273986598
180018375329178,fuel,0.0012772719068237096,-0.011044873330657947,-0.010235179734424591
180018375329178,groceries,0.1056870366048388,0.05087594062038418,0.014989096266948556
180018375329178,other,0.08544221790374225,0.11382135084799362,0.02160852698115791
180018375329178,restaurants,-0.03403519835026401,-0.0012955473830312744,0.03859363343389885
180018375329178,shopping,-0.034086586206202966,0.0014859419820658006,-0.036543670064404114
180018375329178,travel,-0.0013803859996315334,-0.004393967669322122,-0.007746432340571295
180031190491743,entertainment,0.07216382569994487,-0.03423976971337485,-0.03387403138479545
180031190491743,fuel,-0.011092624672089334,0.061823133612875204,0.03090957359910369
180031190491743,groceries,0.03648281879323344,0.052065712451568345,-0.055990578305873416
180031190491743,other,0.09574315703321591,0.11677406829592338,-0.11338108504414472
180031190491743,restaurants,-0.033904408447585105,0.07434280247497665,-0.07156092974456345
180031190491743,shopping,0.0517558688892349,0.05440524936918243,0.030832379807167156
180031190491743,travel,-0.005193710666833831,-0.0057453813493679225,-0.0045509006112405105
180036456789979,entertainment,-0.005229832547021549,0.0278689327034939,-0.05317363193586467
180036456789979,fuel,0.012572884441691036,0.12448278114651473,-0.010896055382589236
180036456789979,groceries,0.16895841826058602,-0.0041511050400235795,-0.03495057833660419
180036456789979,other,0.10366894589863437,0.08458029989730027,6.419763833389851e-05
180036456789979,restaurants,-0.04697381182327151,0.00030930121811048914,-0.03785190527758896
180036456789979,shopping,0.03857832725616119,0.006699498541656391,-0.014394008775045243
180036456789979,travel,-0.006447635922743642,-0.006295727461294237,-0.006484592616633434
180038493344495,entertainment,,,
